Run: train_carolinas_eyelevel_20m_oneshot_bezier_80ep_k16
epoch	train_loss	ADE	FDE
0	4662.901100	33.8622	116.2598
1	4185.986418	33.7225	115.2207
2	4198.946242	34.6145	118.1272
3	4192.170605	33.9700	116.1438
4	4194.780212	33.9766	116.8756
5	4196.114395	34.8005	119.6167
6	4198.087464	34.6770	118.9115
7	4192.977638	34.3964	117.6410
8	4200.947797	34.4437	118.2199
9	4194.945045	34.3706	117.8438
10	4194.274920	34.4481	118.1629
11	4194.017432	34.4289	118.2544
12	4190.177924	34.4572	118.1405
13	4195.560297	34.1895	117.2734
14	4131.943558	31.2550	106.8685
15	3663.645542	27.8303	95.4681
16	3360.963700	28.6285	97.4375
17	3051.150806	22.8979	78.2225
18	2634.473674	24.3730	83.8497
19	2424.855348	22.6440	72.2754
20	2224.231449	19.7009	66.9347
21	2088.401288	21.7611	74.0341
22	1968.284986	19.5909	65.0005
23	1873.578151	19.3764	66.1926
24	1808.958447	21.2149	68.5629
25	1788.877889	22.6162	75.9133
26	1783.938673	21.6234	72.9902
27	1755.946536	20.5873	64.9087
28	1726.204957	18.0995	60.1575
29	1721.435684	18.2036	58.8891
30	1571.975496	17.8757	59.2753
31	1550.571831	17.8636	59.3617
32	1534.287370	17.7725	58.4949
33	1527.031542	17.8871	59.6038
34	1518.186441	18.1256	59.3510
35	1505.484874	17.3531	57.8409
36	1502.638161	17.3310	56.6873
37	1498.262859	17.4343	56.9265
38	1489.016991	18.2633	59.8589
39	1485.702006	17.4818	56.5536
40	1481.022480	17.4889	57.1104
41	1471.941875	18.1168	60.2744
42	1469.943239	18.8777	61.9290
43	1468.012514	17.9024	59.2023
44	1460.218887	17.2910	56.5015
45	1442.811167	17.1724	56.0602
46	1445.987629	17.4428	57.1230
47	1439.318212	17.2047	56.1681
48	1438.495672	17.1045	55.9259
49	1442.642650	17.1326	56.1286
50	1439.363392	17.1070	55.9296
51	1438.923060	17.2354	56.5029
52	1437.529373	17.1928	56.4542
53	1438.058835	17.3092	56.6742
54	1434.922176	17.1315	55.8724
55	1438.490775	17.3697	57.0991
56	1435.750182	17.2257	56.4090
57	1431.081057	17.4077	57.2274
58	1433.215793	17.1078	55.8779
59	1435.235446	17.2704	56.4694
60	1437.151023	17.3036	56.6269
61	1431.814871	17.1355	55.9350
62	1436.263817	17.1269	55.9658
63	1436.518014	17.1281	55.9573
64	1434.021813	17.2382	56.5168
65	1432.284441	17.3248	56.5983
66	1429.925492	17.2246	56.3827
67	1432.971406	17.2395	56.3007
68	1427.205135	17.1998	56.3226
69	1431.031060	17.1284	55.8064
70	1432.168795	17.1316	56.1360
71	1430.890089	17.0987	55.8573
72	1436.089459	17.1481	56.2095
73	1431.833651	17.0765	55.9726
74	1429.041664	17.1775	56.2249
75	1425.383671	17.2401	56.2371
76	1428.185823	17.0434	55.6240
77	1425.876087	17.1713	56.1389
78	1434.311964	17.2709	56.4551
79	1427.406405	17.0353	55.5807

Best epoch: 79, ADE: 17.0353, FDE: 55.5807
