Run: train_carolinas_eyelevel_20m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	3406.861882	18.6780	62.5077
1	1765.900328	18.8115	60.7932
2	1575.604904	18.0125	58.6302
3	1502.549425	17.1310	54.4521
4	1473.501257	18.7748	63.3685
5	1467.261806	19.1320	65.9560
6	1454.757732	17.6686	58.5735
7	1438.377154	17.3407	54.1432
8	1408.919906	19.1152	63.0975
9	1413.623190	17.1468	57.5108
10	1400.709228	17.9591	60.3287
11	1374.592802	16.8548	53.7361
12	1368.942845	16.6907	52.3114
13	1354.066270	16.6578	53.1110
14	1367.905018	15.7254	48.3397
15	1348.570840	16.6169	54.1444
16	1343.678675	16.0516	50.2265
17	1354.682003	16.4663	49.9959
18	1339.572906	17.0843	54.3530
19	1341.622164	17.8303	60.1491
20	1324.762010	15.9544	48.3150
21	1339.295504	16.0192	50.2048
22	1333.711844	15.6604	46.6099
23	1326.287419	16.6762	52.8463
24	1309.409755	16.4029	52.6411
25	1302.898021	16.1320	49.6251
26	1294.701862	17.4885	57.9667
27	1296.895000	16.2394	46.5926
28	1294.296902	16.0703	50.0337
29	1310.463624	15.6704	46.7059
30	1284.221948	16.4760	53.8539
31	1284.764760	16.2756	52.1751
32	1280.824447	15.7353	46.9504
33	1286.614344	16.9111	54.4071
34	1295.797071	16.1114	49.4744
35	1276.454207	16.3623	51.2262
36	1265.815452	16.5224	53.3094
37	1267.281816	16.2969	51.8743
38	1270.409700	15.3728	46.8762
39	1264.906181	16.5042	48.6834
40	1139.046730	15.3784	48.1911
41	1113.686055	15.3976	48.8049
42	1116.735703	15.3842	48.7244
43	1099.266202	15.3660	47.9247
44	1095.046714	15.3826	49.0031
45	1097.789890	15.5039	48.5434
46	1101.063087	14.6459	45.1702
47	1094.672922	15.0049	45.9644
48	1075.879706	15.2772	48.7033
49	1078.524236	14.7615	44.9258
50	1064.108043	14.7373	45.5696
51	1075.560591	14.7379	45.1931
52	1058.478178	14.8463	47.2312
53	1052.794070	14.9338	46.3416
54	1066.287131	14.4142	44.1699
55	1047.374471	14.6920	44.5496
56	1050.032128	14.3592	43.5023
57	1040.318554	14.4399	43.9622
58	1048.971304	14.8589	46.7978
59	1040.038306	14.3550	44.2403
60	1015.730086	15.2555	48.1491
61	1014.476883	14.3471	44.5518
62	1013.801704	14.7007	45.7858
63	1012.132641	15.1150	47.5099
64	1015.487262	14.2890	43.9563
65	1002.597862	14.1142	43.3787
66	1006.818021	14.6397	45.8478
67	1004.027290	14.2877	43.8805
68	1015.114944	14.4437	44.8817
69	998.927693	14.8798	46.4676
70	998.485154	14.4581	44.9691
71	998.069033	14.2655	44.1130
72	1002.202706	14.5370	44.9208
73	993.518454	14.2398	43.9777
74	1003.081355	14.2537	44.0717
75	1007.384196	14.6497	45.4267
76	999.953299	14.8598	46.6323
77	1000.756062	14.1297	43.8176
78	993.286045	14.3864	44.5646
79	1000.482140	14.2872	44.5658

Best epoch: 65, ADE: 14.1142, FDE: 43.3787
