Run: train_carolinas_eyelevel_30m_oneshot_bezier_80ep
epoch	train_loss	ADE	FDE
0	4630.353210	34.9129	119.2639
1	3319.761424	24.2327	84.5735
2	2547.878915	21.9337	76.3634
3	3156.340907	34.9353	119.3620
4	4044.939843	34.2246	117.4445
5	4204.059320	34.3815	117.0409
6	4195.437763	34.4480	118.0542
7	3814.967291	34.5594	118.6248
8	3901.841922	35.7902	122.7765
9	2671.870146	24.3591	86.7010
10	2156.131180	21.5597	74.7840
11	2146.127589	21.2799	73.7167
12	2144.314420	21.3115	73.3660
13	2121.432985	21.9787	76.6859
14	2123.063836	21.1140	71.9867
15	2138.584341	21.2786	73.9227
16	2096.022449	21.7422	75.8693
17	2115.193944	20.9926	71.9479
18	2129.582639	21.2278	73.3170
19	2082.708501	21.7683	75.9066
20	2090.798362	20.9994	72.1466
21	2089.029338	22.1860	77.4103
22	2072.437091	21.0719	72.8396
23	2125.777841	20.9752	71.7636
24	2090.589160	21.2512	73.7774
25	2067.812661	20.9423	71.5344
26	3036.156520	33.7414	117.5111
27	4107.318308	34.1076	117.5085
28	4055.307720	33.4052	114.2493
29	3677.128882	33.1437	113.1452
30	2871.228925	23.0937	79.8434
31	2348.218726	22.6750	78.5957
32	2288.206168	22.4390	77.8835
33	2235.356838	22.1728	76.7398
34	2204.590380	21.9570	75.7486
35	2177.595777	22.2415	77.1431
36	2162.344663	21.7660	75.0122
37	2147.399925	22.0061	76.3744
38	2127.782449	21.9080	75.9109
39	2118.730379	21.8405	75.6661
40	2116.846039	21.6135	74.8026
41	2103.343492	21.6271	75.0009
42	2090.998351	21.4606	74.1708
43	2086.177337	21.4588	74.2393
44	2203.351359	21.8890	75.8122
45	2211.093630	22.0279	76.3713
46	2205.264696	21.9262	75.9775
47	2201.427414	22.0168	76.4355
48	2201.433355	21.9730	76.2323
49	2199.246825	22.0028	76.3968
50	2195.878224	21.9598	76.2552
51	2192.894823	21.9114	76.0624
52	2192.812319	21.9331	76.1509
53	2196.686253	21.9039	76.0660
54	2183.432503	21.8477	75.8469
55	2186.070562	21.7778	75.5433
56	2184.237764	21.7935	75.6473
57	2169.446523	21.9016	76.1154
58	2171.071628	21.8038	75.6996
59	2182.877260	21.8271	75.8347
60	2171.991921	21.8114	75.7659
61	2175.410962	21.8275	75.8676
62	2168.739114	21.7996	75.7524
63	2167.131978	21.8069	75.8211
64	2165.716096	21.8106	75.8572
65	2154.366540	21.7410	75.5709
66	2159.895506	21.8112	75.9026
67	2167.033535	21.7433	75.5957
68	2170.574153	21.8017	75.9104
69	2163.438809	21.8167	75.9698
70	2159.868947	21.7393	75.6027
71	2151.964217	21.7061	75.4632
72	2160.330990	21.7338	75.6066
73	2156.770439	21.7230	75.5717
74	2161.375983	21.6613	75.2806
75	2146.393759	21.7392	75.6764
76	2146.949419	21.7179	75.5951
77	2150.538501	21.6414	75.2159
78	2139.552579	21.7376	75.7005
79	2145.077540	21.6953	75.4884

Best epoch: 25, ADE: 20.9423, FDE: 71.5344
