Run: train_carolinas_eyelevel_30m_oneshot_bezier_80ep_residual_v2
epoch	train_loss	ADE	FDE
0	4678.481456	34.6661	118.9322
1	4201.038827	34.3840	118.0347
2	4193.203313	34.2811	117.7521
3	4195.243141	34.3811	117.8590
4	4192.915144	34.4457	118.1718
5	4196.739526	34.5037	118.1646
6	4157.946281	33.3028	113.6074
7	4068.756009	33.3310	113.8837
8	4092.727869	33.2584	113.7538
9	4084.920630	33.7346	114.9123
10	4101.583926	33.8147	115.4691
11	4135.320677	32.6729	109.4811
12	4059.476208	33.0090	112.2558
13	4061.992866	33.4590	114.2478
14	4062.278593	33.1888	113.3115
15	4112.598569	33.7196	114.8628
16	4080.401211	33.1555	112.9539
17	4136.385752	33.6752	114.6301
18	4067.033762	33.7257	114.6169
19	4079.969412	33.6606	114.9241
20	4073.340431	33.1132	113.2502
21	4067.796567	33.7911	115.3598
22	4064.984409	33.2263	113.1217
23	4072.218356	32.9623	110.6133
24	4078.507402	33.5351	114.4589
25	4017.602971	32.7503	111.5669
26	3849.070048	30.7131	104.2427
27	3716.222842	32.2618	110.2258
28	3761.566990	31.9809	109.5217
29	3538.254542	30.0514	101.4201
30	3360.921410	28.2209	94.8166
31	3412.501987	29.1067	99.1874
32	3285.789658	27.7282	92.7590
33	3451.855156	29.4404	99.8327
34	3362.924082	34.3422	118.8625
35	3266.460538	26.6349	91.7640
36	3311.046334	34.0901	118.8094
37	3536.282333	35.5040	123.2442
38	3180.052569	25.3506	87.7971
39	2961.729904	24.0999	82.8181
40	2547.517518	24.7831	87.4595
41	2521.083308	23.1512	80.9872
42	2487.844883	24.1728	85.3987
43	2469.403351	22.9154	80.5054
44	2431.971909	22.5204	78.7591
45	2402.978502	22.3353	76.1903
46	2383.818085	22.2452	77.8927
47	2274.048175	22.7837	80.3586
48	2016.764256	20.1171	66.9673
49	1889.057335	19.0310	63.9183
50	1766.109420	18.7529	64.7811
51	1712.481283	19.0448	63.7520
52	1691.870206	18.2631	60.7212
53	1660.291047	19.3262	66.3186
54	1658.754483	19.3803	62.2645
55	1629.077017	21.6957	76.6968
56	1614.316874	18.4533	65.9330
57	1598.369066	18.0907	62.8136
58	1591.093848	18.5758	65.4132
59	1578.755425	18.4943	64.9794
60	1479.338417	17.2707	58.7962
61	1464.022158	16.9348	56.3499
62	1450.065568	17.5943	59.9851
63	1452.739058	17.4990	59.3481
64	1449.600195	17.5411	59.9941
65	1444.864562	16.8909	56.5934
66	1440.258519	17.1080	57.3154
67	1440.372991	17.0150	57.2360
68	1439.793044	17.0412	58.2914
69	1439.889508	16.9355	56.9098
70	1431.964312	17.0628	57.6354
71	1426.698889	17.1733	58.1959
72	1420.241571	17.0951	57.8356
73	1423.701394	17.0252	57.5106
74	1421.792270	17.0280	57.5547
75	1424.615989	16.9513	56.9301
76	1418.274082	16.8416	56.7132
77	1423.220955	16.9699	57.1367
78	1421.742180	16.8129	56.4041
79	1422.410583	17.0120	57.5424

Best epoch: 78, ADE: 16.8129, FDE: 56.4041
