Run: train_carolinas_highAngle_20m_oneshot_bezier_80ep_k16
epoch	train_loss	ADE	FDE
0	6552.281012	42.8407	148.1757
1	5880.273411	43.1388	149.4177
2	5884.155294	43.0076	149.5131
3	5886.587220	42.7958	148.8234
4	5882.194299	42.8603	148.7658
5	5883.164981	42.8995	149.1237
6	5889.767610	43.0990	149.6723
7	5882.226840	43.0291	149.5334
8	5887.296614	42.7004	148.1889
9	5887.925114	42.6889	147.7436
10	5878.275959	41.8025	145.4655
11	4877.415034	32.0709	110.9898
12	3997.971826	30.1664	103.3492
13	3355.041038	26.5194	92.3221
14	2981.945139	25.5040	87.3732
15	2723.429080	25.1235	85.3481
16	2540.459056	23.7521	82.9577
17	2441.248933	24.4376	85.5872
18	2363.618404	22.9954	78.7539
19	2344.454248	23.7195	81.7707
20	2328.111986	24.0794	84.6072
21	2290.949636	22.7825	75.8684
22	2274.874373	22.8951	79.5341
23	2247.200116	22.5904	76.4792
24	2220.158048	22.7988	79.2918
25	2241.783645	23.1779	76.4246
26	2237.229324	23.5281	82.5383
27	2211.860759	22.2738	75.0614
28	2221.091645	22.4794	76.7531
29	2212.382357	23.3359	78.4547
30	2072.629741	22.1243	74.7616
31	2061.074007	22.0030	74.7618
32	2051.920446	22.0582	74.5580
33	2046.323362	22.6592	76.9495
34	2038.339416	21.9535	73.4268
35	2038.851730	22.0795	75.2398
36	2041.050096	22.1316	74.7463
37	2035.762404	21.8710	73.1795
38	2030.602752	21.9290	73.4486
39	2028.624516	21.9564	73.1524
40	2026.059273	21.8729	73.0748
41	2026.220821	21.9979	74.3742
42	2015.857867	21.7958	73.2077
43	2010.154577	22.0404	74.7495
44	2007.267132	21.6749	73.1917
45	1996.295671	21.7179	73.2007
46	1991.725393	21.7475	73.1662
47	1982.474508	21.7045	73.1277
48	2001.069311	21.7738	73.1549
49	1993.194935	21.7257	73.0815
50	1993.532670	21.7341	73.2006
51	1998.713684	21.8095	73.6158
52	1993.489763	21.7646	73.3859
53	1989.388415	21.7277	73.3286
54	1984.216411	21.7248	73.0700
55	1986.383566	21.7179	73.0572
56	1984.584459	21.7379	73.3928
57	1989.258495	21.7388	73.1921
58	1986.251187	21.6704	72.8543
59	1984.781706	21.8347	73.5797
60	1984.505451	21.7192	72.8919
61	1980.850916	21.6861	73.0776
62	1984.054009	21.7010	72.9473
63	1981.553345	21.7347	73.1968
64	1975.956148	21.7251	73.2927
65	1977.321483	21.6516	72.6963
66	1985.943855	21.6687	73.0264
67	1986.693882	21.7265	72.9689
68	1975.116141	21.6284	72.6143
69	1987.291646	21.8078	73.4103
70	1980.210181	21.6868	72.8219
71	1977.936569	21.6482	72.8214
72	1988.671305	21.6738	72.9025
73	1980.316222	21.6214	72.6267
74	1976.392282	21.7218	72.7204
75	1973.519967	21.6553	72.7542
76	1973.997571	21.7564	73.1415
77	1976.035923	21.6359	72.6263
78	1974.234122	21.6384	72.8898
79	1971.423159	21.6323	72.9337

Best epoch: 73, ADE: 21.6214, FDE: 72.6267
