Run: train_carolinas_highAngle_30m_oneshot_bezier_80ep
epoch	train_loss	ADE	FDE
0	6510.238428	42.6798	148.0428
1	5888.653218	42.8124	148.7629
2	5886.993969	42.6338	147.9241
3	5883.101997	42.8038	148.7604
4	5881.539162	42.9392	148.7369
5	5881.675708	42.7639	148.4921
6	5884.130674	43.1661	150.0586
7	5879.490981	43.4088	151.1993
8	5877.288602	42.7239	148.2645
9	5880.205701	42.8731	148.0794
10	5886.723564	42.8175	148.7680
11	5703.913842	37.7686	132.1411
12	5104.328893	35.4760	121.4151
13	4669.582542	31.8397	112.0015
14	4308.393156	30.3594	107.9081
15	3909.842449	28.8139	104.4345
16	3541.686461	27.6809	99.8894
17	3110.803869	24.0667	83.3340
18	2894.112844	24.0839	87.8819
19	2792.912973	23.1346	81.4416
20	2713.097794	22.4212	79.6928
21	2680.113976	22.7452	81.4084
22	2649.705475	23.4541	81.6845
23	2652.553546	26.6383	97.5725
24	2640.798593	23.1961	83.7427
25	2593.598802	23.1003	79.2721
26	2495.332706	22.4417	75.6310
27	2460.112253	22.6317	77.5725
28	2462.292064	22.8500	82.0658
29	2418.083661	23.4449	84.1983
30	2276.475814	22.3682	77.3631
31	2253.554933	22.2719	76.5508
32	2236.242227	23.3017	82.0204
33	2231.256214	22.1353	77.4732
34	2224.168859	22.2079	77.0110
35	2221.432646	22.1229	75.6622
36	2214.083998	22.2035	75.5114
37	2207.397075	22.2043	77.5526
38	2202.662674	22.1408	76.5365
39	2209.837276	21.9904	75.7602
40	2200.040252	21.9471	76.0079
41	2182.120702	22.0300	76.1042
42	2186.226938	21.8978	75.4554
43	2178.599840	22.0800	74.8770
44	2181.643926	22.2247	77.9190
45	2158.903691	21.8859	75.7849
46	2149.771242	21.9154	76.2520
47	2157.083985	21.7842	74.7775
48	2157.086078	21.8375	75.5046
49	2145.679923	21.7716	75.0059
50	2151.348267	21.9719	76.5439
51	2146.398433	21.9253	76.3712
52	2146.060609	21.8848	76.0556
53	2144.037228	21.7384	74.9859
54	2132.559161	21.7957	75.5473
55	2137.541383	21.7319	74.5568
56	2135.675963	21.7454	75.1113
57	2134.524040	21.9275	76.3273
58	2135.946753	21.8749	76.2875
59	2124.582235	21.9120	76.1410
60	2129.862023	21.7938	75.6738
61	2128.330024	21.7501	75.3861
62	2126.667951	21.7413	75.0798
63	2120.356361	21.8467	75.9868
64	2120.550676	21.8012	75.6941
65	2116.165959	21.8060	75.8725
66	2116.395981	21.8087	75.5446
67	2126.407517	21.6537	74.5858
68	2117.667332	21.8324	76.1937
69	2113.297791	21.7642	75.6399
70	2108.812896	21.6909	75.1446
71	2112.433644	21.6482	75.0644
72	2111.530109	21.7474	75.5661
73	2112.716375	21.6096	74.3253
74	2105.043348	21.6218	74.5104
75	2104.962793	21.6921	74.9114
76	2119.695573	21.7413	75.8288
77	2106.396053	21.7967	75.9227
78	2107.806775	21.5959	74.4978
79	2099.711498	21.5948	74.6194

Best epoch: 79, ADE: 21.5948, FDE: 74.6194
