Run: train_carolinas_highAngle_30m_oneshot_bezier_80ep_residual_v2
epoch	train_loss	ADE	FDE
0	6517.540383	42.8361	148.0106
1	5884.750537	43.0110	149.8888
2	5885.280072	42.6788	148.2689
3	5882.489979	42.9393	148.7476
4	5883.420410	42.9297	148.9512
5	5882.447688	42.9982	149.4947
6	5880.505391	42.9576	149.6013
7	5886.175124	43.0539	149.8995
8	5876.849637	42.4401	147.0015
9	5875.817228	42.6649	147.8693
10	5873.202552	42.8617	148.5377
11	5870.773554	42.5702	147.1948
12	5859.625176	42.4309	146.4217
13	5867.253947	42.7631	148.4627
14	5865.489416	42.9503	148.7385
15	5870.342327	42.3441	145.9504
16	5883.011287	42.9434	149.3018
17	5889.376735	42.1752	145.4250
18	5883.260106	43.1752	150.0527
19	5818.866554	42.4846	146.5793
20	5866.795321	43.1152	149.1531
21	5872.243475	42.5812	147.3701
22	5878.702074	42.7119	147.3017
23	5861.496217	42.1192	145.0122
24	5881.839723	43.0470	149.0961
25	3741.320645	26.5424	93.2874
26	2746.415701	30.4423	108.8176
27	2515.838683	22.3284	75.9556
28	2408.447451	23.3513	80.8815
29	2352.995319	22.1372	75.9495
30	2362.619336	22.7691	76.7872
31	2319.197808	22.3620	76.0354
32	2288.863312	22.8402	75.2605
33	2257.607205	23.1605	79.1079
34	2248.870356	22.3430	78.3187
35	2285.395995	23.8845	79.6812
36	2189.014282	22.2882	79.8682
37	2095.612700	21.6815	74.6783
38	2105.441723	22.8266	75.8384
39	2061.711473	21.7425	73.9881
40	1867.400279	20.8166	71.7785
41	1796.589411	20.8103	72.5291
42	1733.582089	19.9027	65.9608
43	1664.054052	19.7417	64.1179
44	1605.210357	19.3098	63.5329
45	1574.977899	19.6523	63.3665
46	1531.224406	19.1924	62.7540
47	1528.136211	19.9882	65.5377
48	1511.643715	19.0806	62.9445
49	1507.134261	19.2463	62.0099
50	1489.929915	19.1882	62.5051
51	1492.376862	22.5023	70.9193
52	1497.680620	19.1557	60.8799
53	1489.537576	19.0615	60.9902
54	1483.340508	19.0048	60.8290
55	1477.156347	18.8170	60.3712
56	1472.131227	19.0656	60.4288
57	1474.178257	19.1054	63.0360
58	1464.062839	19.0779	60.4769
59	1470.585143	19.2370	61.8569
60	1400.183623	18.6904	59.3001
61	1387.461216	18.6856	59.5437
62	1384.360537	18.7412	59.4123
63	1379.910983	18.7188	59.1879
64	1377.213269	18.6900	59.3599
65	1377.014904	18.7306	59.8017
66	1371.379448	18.6593	59.7086
67	1374.505643	18.7349	59.3361
68	1372.867398	18.6185	59.1604
69	1371.778923	18.5719	59.1209
70	1361.136985	18.6208	59.1037
71	1361.903656	18.6129	59.0855
72	1364.139641	18.6317	59.0989
73	1362.889847	18.6175	59.0395
74	1367.140800	18.6313	59.1319
75	1358.812201	18.6070	58.9436
76	1357.605483	18.6316	58.8479
77	1358.713487	18.6122	58.9657
78	1356.884304	18.6033	58.9920
79	1356.143188	18.6132	58.9319

Best epoch: 69, ADE: 18.5719, FDE: 59.1209
