Run: train_carolinas_highAngle_30m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	4100.912921	22.8680	77.7347
1	1988.910116	21.8584	76.6013
2	1847.603240	20.0984	64.9371
3	1801.505510	19.8916	62.8340
4	1756.346336	18.7322	63.8826
5	1701.624428	18.2026	61.1904
6	1651.107752	18.6346	59.8622
7	1627.233361	17.6362	61.1763
8	1617.225740	17.9215	62.5998
9	1597.050298	17.9212	58.9846
10	1583.881208	20.5013	69.0506
11	1561.469988	17.6840	56.9760
12	1550.851799	17.2937	60.5239
13	1555.496718	17.1822	57.1882
14	1541.043708	18.1940	64.0162
15	1540.096461	18.4033	67.9536
16	1542.730226	17.6272	61.6692
17	1523.692695	17.0575	58.8151
18	1528.430594	17.7649	63.2481
19	1541.695030	17.4626	61.1439
20	1538.377108	18.6714	61.7345
21	1529.556045	17.9037	61.4153
22	1523.654172	16.7207	58.4938
23	1523.287500	16.7003	55.6585
24	1511.415612	16.6872	55.7177
25	1530.011091	16.7850	59.1924
26	1519.023277	17.0647	60.2971
27	1503.485242	16.4600	56.2873
28	1511.910756	16.9807	59.6014
29	1521.441365	18.2464	57.4937
30	1510.522873	17.0769	58.6415
31	1513.837828	17.4019	58.0780
32	1502.858545	19.1062	67.6978
33	1489.176940	17.6198	62.1922
34	1491.917296	17.1168	59.8091
35	1494.864196	17.2265	58.6110
36	1504.481959	16.4809	55.1562
37	1484.061266	18.2352	64.0176
38	1487.884989	17.6246	61.2558
39	1480.157905	16.9512	55.1792
40	1343.511306	15.8471	53.3639
41	1336.315079	15.7638	53.9704
42	1312.690855	15.8314	54.2840
43	1311.199893	15.5853	53.1076
44	1303.268966	15.5361	52.6867
45	1282.508115	15.9311	54.3577
46	1279.928661	15.5499	52.3836
47	1274.893537	15.6933	55.0854
48	1273.673615	15.3556	51.7917
49	1277.225756	15.3462	52.0131
50	1262.910448	15.4550	53.1405
51	1253.926858	15.8967	54.5155
52	1251.075441	15.4408	53.1007
53	1253.996505	15.4674	53.1142
54	1248.977225	15.7531	54.4392
55	1245.676095	15.6319	53.1766
56	1243.388519	15.4306	52.7366
57	1230.711629	15.5441	53.4681
58	1238.082092	15.6828	53.5140
59	1231.415642	15.7827	52.5994
60	1196.202433	15.1537	51.5843
61	1210.530208	15.7292	54.2176
62	1188.412152	15.0272	51.1010
63	1192.549965	15.3612	52.6023
64	1185.941089	15.1185	51.6442
65	1190.882456	15.0070	51.0822
66	1185.702719	15.0487	50.9334
67	1184.926845	15.4683	52.8544
68	1190.190433	15.3152	52.3751
69	1178.567232	15.3393	52.2595
70	1175.483399	15.2461	51.9527
71	1181.106008	15.1544	51.7110
72	1182.944720	15.6212	53.7105
73	1177.297969	15.0713	51.1328
74	1179.508359	15.1571	51.7536
75	1180.467107	15.0290	50.6063
76	1176.872215	15.2174	51.9923
77	1180.035800	15.1758	51.8073
78	1181.486969	15.3625	52.5927
79	1180.846545	15.3242	52.3343

Best epoch: 65, ADE: 15.0070, FDE: 51.0822
