Run: train_ngsim_20m_oneshot_bezier_80ep_k16
epoch	train_loss	ADE	FDE
0	180.377797	10.2925	19.8872
1	146.990647	10.4907	20.2407
2	144.127375	10.3062	19.8675
3	144.942612	10.8115	20.6574
4	171.305076	10.7771	20.7038
5	93.361593	10.5562	20.2936
6	143.904519	10.4332	20.1065
7	147.854517	5.5663	10.9771
8	74.653436	5.5528	11.0659
9	64.726728	4.3967	8.8915
10	55.867359	3.9846	8.1983
11	53.846581	3.8686	7.9573
12	51.491988	3.6154	7.5119
13	45.936376	3.3131	6.9870
14	40.311093	3.6268	7.4446
15	39.985819	3.5213	7.1733
16	40.921913	2.9424	6.2582
17	43.705668	4.7508	9.4512
18	45.460106	3.9939	8.0811
19	50.338572	5.5119	10.8340
20	52.983041	3.6597	7.5819
21	52.511614	4.1399	8.3472
22	50.842229	3.7971	7.7702
23	47.215691	3.6333	7.4522
24	45.176870	3.0196	6.2469
25	33.147389	2.9754	6.2309
26	28.740648	3.2259	6.6292
27	25.708696	2.9555	6.2291
28	23.236312	2.7742	5.9212
29	22.386862	2.3901	5.3045
30	17.738032	2.2325	5.0777
31	16.926121	2.2023	5.0267
32	16.537156	2.1675	4.9797
33	16.220485	2.1989	5.0228
34	15.992141	2.2011	5.0286
35	15.877469	2.1937	5.0062
36	15.717250	2.1658	4.9648
37	15.574759	2.2961	5.1600
38	15.511362	2.2140	5.0472
39	15.444541	2.1817	4.9977
40	15.338437	2.2063	5.0320
41	15.327482	2.1674	4.9647
42	15.307867	2.1732	4.9904
43	15.252354	2.1231	4.9023
44	15.202408	2.1568	4.9493
45	15.023185	2.1594	4.9582
46	14.988686	2.1463	4.9361
47	14.963936	2.1431	4.9293
48	14.962997	2.1408	4.9262
49	14.952838	2.1692	4.9728
50	14.949504	2.1464	4.9380
51	14.962908	2.1564	4.9527
52	14.922657	2.1534	4.9456
53	14.926343	2.1439	4.9373
54	14.923873	2.1426	4.9283
55	14.921010	2.1412	4.9288
56	14.918504	2.1454	4.9319
57	14.902461	2.1523	4.9499
58	14.897726	2.1478	4.9437
59	14.883875	2.1540	4.9519
60	14.863125	2.1310	4.9120
61	14.877082	2.1566	4.9569
62	14.871398	2.1294	4.9083
63	14.868844	2.1639	4.9633
64	14.852841	2.1502	4.9445
65	14.830146	2.1445	4.9370
66	14.852648	2.1487	4.9364
67	14.827399	2.1455	4.9364
68	14.821510	2.1582	4.9569
69	14.826587	2.1577	4.9574
70	14.815216	2.1404	4.9297
71	14.795394	2.1431	4.9355
72	14.817562	2.1459	4.9397
73	14.783634	2.1365	4.9216
74	14.808959	2.1539	4.9498
75	14.772600	2.1474	4.9350
76	14.796732	2.1344	4.9209
77	14.807802	2.1463	4.9375
78	14.794130	2.1541	4.9503
79	14.782735	2.1410	4.9275

Best epoch: 43, ADE: 2.1231, FDE: 4.9023
