Run: train_ngsim_40m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	63.619351	2.1822	4.7936
1	14.710192	2.6435	5.5568
2	13.833100	2.4330	5.2326
3	13.346542	1.9242	4.4000
4	12.718583	1.9374	4.4096
5	12.719005	1.9816	4.4402
6	12.584986	1.9507	4.4058
7	12.311947	2.2783	4.9449
8	12.338523	2.0496	4.6649
9	12.365127	1.9711	4.5247
10	11.884414	2.0979	4.6852
11	11.780082	2.0615	4.6735
12	11.733448	2.2576	4.7841
13	11.607116	1.9444	4.4651
14	11.431677	1.9491	4.4625
15	11.518334	2.0074	4.5584
16	11.425415	1.9805	4.5011
17	11.527485	1.9020	4.3587
18	11.328491	2.2240	4.9121
19	11.319554	2.1361	4.7157
20	11.332534	1.8933	4.3302
21	11.247434	1.9155	4.3626
22	11.211767	1.9705	4.4235
23	11.170004	2.0625	4.5755
24	11.360730	1.9947	4.4797
25	11.176643	1.9333	4.4293
26	11.220489	1.9283	4.4228
27	11.138636	2.0601	4.6358
28	11.211636	1.8712	4.2926
29	11.073553	2.2672	4.9554
30	11.278174	1.8511	4.2728
31	11.153347	2.0001	4.5060
32	11.194252	1.9912	4.5552
33	11.176475	1.9587	4.4244
34	11.168165	2.0133	4.5175
35	11.123899	2.2721	4.9813
36	11.094176	1.9560	4.3989
37	11.070268	1.9018	4.3506
38	11.044205	1.8759	4.3113
39	11.165566	2.0345	4.5553
40	10.161860	1.8796	4.3187
41	10.052825	1.8657	4.2774
42	10.003205	1.8667	4.2863
43	9.942394	1.8874	4.2994
44	9.901779	1.8637	4.2729
45	9.895383	1.8546	4.2665
46	9.865174	1.8822	4.2897
47	9.842450	1.8757	4.2798
48	9.802123	1.8572	4.2543
49	9.817789	1.8473	4.2427
50	9.777286	1.8421	4.2372
51	9.773193	1.8378	4.1993
52	9.755517	1.8313	4.1987
53	9.728282	1.8430	4.2211
54	9.729484	1.8926	4.3136
55	9.720037	1.8680	4.2509
56	9.711955	1.8790	4.2818
57	9.725350	1.8351	4.2200
58	9.675325	1.8388	4.2175
59	9.674645	1.8441	4.2228
60	9.510181	1.8330	4.2118
61	9.485402	1.8283	4.2045
62	9.493544	1.8272	4.1965
63	9.470078	1.8290	4.2117
64	9.473268	1.8195	4.1748
65	9.471233	1.8256	4.1918
66	9.452834	1.8278	4.1967
67	9.469211	1.8302	4.1973
68	9.457465	1.8255	4.1950
69	9.445342	1.8281	4.1920
70	9.430267	1.8213	4.1861
71	9.431582	1.8195	4.1846
72	9.427717	1.8284	4.1945
73	9.421516	1.8250	4.1910
74	9.422449	1.8181	4.1813
75	9.419999	1.8233	4.1835
76	9.426979	1.8237	4.1871
77	9.423778	1.8226	4.1891
78	9.424990	1.8239	4.1850
79	9.418302	1.8183	4.1834

Best epoch: 74, ADE: 1.8181, FDE: 4.1813
